epoch,episode length
1640,742.05
1641,740.35
1642,806.27
1643,980.87
1644,548.27
1645,422.28
1646,400.81
1647,430.49
1648,430.67
1649,431.99
1650,437.74
1651,559.06
1652,942.79
1653,1002.0
1654,1002.0
1655,1002.0
1656,1002.0
1657,1002.0
1658,1002.0
1659,1002.0
1660,1002.0
1661,1002.0
1662,1002.0
1663,1002.0
1664,1002.0
1665,1002.0
1666,1002.0
1667,1002.0
1668,1002.0
1669,1002.0
1670,1002.0
1671,1002.0
1672,1002.0
1673,1002.0
1674,1002.0
1675,1002.0
1676,1002.0
1677,1001.79
1678,993.52
1679,973.1
1680,957.28
1681,948.99
1682,948.99
1683,947.68
1684,973.41
1685,1002.0
1686,1002.0
1687,1002.0
1688,992.49
1689,992.49
1690,992.49
1691,992.49
1692,992.49
1693,992.49
1694,978.06
1695,970.55
1696,963.33
1697,961.97
1698,954.96
1699,954.96
1700,954.96
1701,954.96
1702,954.96
1703,968.86
1704,972.87
1705,978.9
1706,978.9
1707,978.9
1708,978.9
1709,978.9
1710,1002.0
1711,1002.0
1712,1002.0
1713,1002.0
1714,1002.0
1715,1002.0
1716,1002.0
1717,1002.0
1718,1002.0
1719,1002.0
1720,1002.0
1721,1002.0
1722,1002.0
1723,992.62
1724,992.62
1725,992.62
1726,1002.0
1727,993.3
1728,965.55
1729,911.76
1730,904.89
1731,891.45
1732,891.45
1733,891.45
1734,891.45
1735,930.77
1736,925.57
1737,860.55
1738,849.3
1739,849.3
1740,844.34
1741,844.34
1742,844.34
1743,848.46
1744,864.8
1745,920.77
1746,939.86
1747,939.86
1748,939.86
1749,939.86
1750,939.86
1751,957.2
1752,1002.0
1753,1002.0
1754,992.4
1755,992.4
1756,992.4
1757,992.4
1758,992.4
1759,992.4
1760,1002.0
1761,1002.0
1762,1002.0
1763,1002.0
1764,1002.0
1765,993.11
1766,993.11
1767,993.11
1768,1002.0
1769,1002.0
1770,1002.0
1771,1002.0
1772,1002.0
1773,1002.0
1774,1002.0
1775,1002.0
1776,1002.0
1777,1002.0
1778,992.14
1779,967.45
1780,960.62
1781,960.62
1782,955.38
1783,950.45
1784,950.45
1785,950.45
1786,950.45
1787,933.64
1788,921.57
1789,925.25
1790,915.12
1791,915.12
1792,915.12
1793,932.12
1794,1002.0
1795,1002.0
1796,992.55
1797,981.65
1798,981.65
1799,972.39
1800,972.39
1801,981.84
1802,1002.0
1803,1002.0
1804,992.04
1805,933.99
1806,955.32
1807,965.65
1808,965.65
1809,972.85
1810,985.38
1811,416.21
1812,392.2
1813,504.23
1814,524.31
1815,529.65
1816,530.66
1817,534.96
1818,603.27
1819,825.94
1820,995.85
1821,993.31
1822,993.31
1823,993.31
1824,993.31
1825,993.31
1826,993.31
1827,989.18
1828,928.02
1829,634.5
1830,628.51
1831,642.36
1832,637.09
1833,638.61
1834,644.85
1835,861.3
1836,999.81
1837,1002.0
1838,981.0
1839,962.08
1840,953.01
1841,953.01
1842,953.01
1843,1002.0
1844,1002.0
1845,1002.0
1846,973.34
1847,915.78
1848,915.78
1849,916.33
1850,898.95
1851,956.85
1852,800.14
1853,545.61
1854,538.35
1855,537.88
1856,543.62
1857,551.74
1858,552.23
1859,551.2
1860,578.85
1861,637.35
1862,658.24
1863,673.31
1864,673.31
1865,673.31
1866,673.31
1867,673.31
1868,673.31
1869,675.94
1870,440.44
1871,463.48
1872,486.38
1873,501.58
1874,512.07
1875,521.97
1876,523.2
1877,610.86
1878,567.97
1879,564.72
1880,548.89
1881,504.8
1882,518.44
1883,535.76
1884,549.67
1885,628.64
1886,868.08
1887,666.1
1888,621.44
1889,616.81
1890,648.64
1891,648.64
1892,648.64
1893,765.88
1894,973.16
1895,936.77
1896,904.68
1897,895.55
1898,880.71
1899,897.42
1900,897.42
1901,897.42
1902,897.42
1903,889.36
1904,867.83
1905,858.12
1906,851.17
1907,842.67
1908,842.67
1909,842.67
1910,842.67
1911,856.32
1912,1002.0
1913,1002.0
1914,1002.0
1915,1002.0
1916,1002.0
1917,1002.0
1918,1002.0
1919,985.37
1920,948.19
1921,979.44
1922,982.38
1923,986.38
1924,973.09
1925,967.4
1926,958.69
1927,963.86
1928,999.76
1929,1002.0
1930,1000.42
1931,1000.42
1932,1000.42
1933,1000.42
1934,1000.42
1935,1000.42
1936,1002.0
1937,1002.0
1938,992.4
1939,992.4
1940,992.4
1941,992.4
1942,983.55
1943,983.55
1944,983.55
1945,983.55
1946,983.55
1947,983.55
1948,983.55
1949,980.61
1950,980.61
1951,980.61
1952,980.61
1953,990.21
1954,1002.0
1955,1002.0
1956,1002.0
1957,1002.0
1958,1002.0
1959,1002.0
1960,1002.0
1961,1002.0
1962,1002.0
1963,1002.0
1964,984.54
1965,992.66
1966,992.66
1967,992.66
1968,992.66
1969,1002.0
1970,971.82
1971,853.41
1972,584.71
1973,551.5
1974,547.71
1975,545.12
1976,564.79
1977,789.89
1978,1002.0
1979,1002.0
1980,970.6
1981,944.23
1982,935.21
1983,926.1
1984,917.2
1985,917.2
1986,896.1
1987,619.82
1988,510.01
1989,471.78
1990,393.22
1991,402.98
1992,412.1
1993,412.78
1994,415.19
1995,519.42
1996,496.41
1997,543.66
1998,571.66
1999,602.85
